customer_tweet_id,support_tweet_id,customer_text_clean,support_text_clean,suggested_intent
1102118,1102117,flight cxl cant get me to MIA and cant rent a car from FLL to get home agts at gate no computers and 1800 passed the buck..,"We're very sorry for the extra travel time, Manny. Please continue working with our airport team for the next available options.",AccountBookingHelp
1436095,1436094,"There is no sense of urgency or that customers time is of value, get a manager at that gate that can motivate the team",Our airport team is working hard to get you going. We appreciate your patience.,AccountBookingHelp
205520,205522,How long is shortly,We've responded. Please check your DM.,AccountBookingHelp
2469569,2469567,we're over 30 minutes late boarding AA 69 and gate agents haven't given any updates. What's the story?,We're showing AA69 is still on schedule for 12p departure. We'll have you on your way as soon as possible.,AccountBookingHelp
454784,454783,"Hey , I'm a big fan of this whole snack cart thing at the gate (CVG to DCA). Even more of a fan of the fact there are Slim Jims. After a 3-hour delay, I still feel #blessed.",We're glad the team is able to offer some snack service while waiting in the terminal area. Thank you for your patience this evening.,AccountBookingHelp
1527976,1527973,why can’t I use my upgrades consistently when there are open business class consistently? Have the time told NO at the gate?,"Were you on the upgrade list, Kevin? Please DM your record locator, we'll take a look.",AccountBookingHelp
2685601,2685600,"This dude, gate agent, has gone from gate 10 to gate 21 still spouting his conservative political bullshit. Is this a new policy? I'm stuck here, waiting for a plane, listening to conspiracy theories too wacky to believe.",Your comments concern us. Please follow and DM your record locator and details.,AccountBookingHelp
2894140,2894139,TIL terminals 1 and 2 at SFO are connected airside. And has ONE gate at the very end of terminal 1. Thanks for the long walk gate-manager-guy!,"Matt, we have a great team in SFO that is there if you need special assistance. We want to make your experience go smooth as possible.",AccountBookingHelp
2567251,2567250,It’s now 1.05pm and I’m seeing NO sign of at my gate. Called the help Centre nothing concrete yet.,We'd be happy to check on an update. What's your flight number?,AccountBookingHelp
2517344,2517343,how about being ashamed that making the gate on time these days is under 20% ...how about you pay for the dinner I just missed with my family. #worstairlineever,"Arriving early is great but sometimes the gate isn't ready yet, but we're very sorry for getting you in later than the scheduled time.",AccountBookingHelp
2300608,2300606,"So it’s an engine problem that takes 20 minutes to repair, I looked at my connection and I’m landing in terminal A and my connection is in C, what can I do?",We don't like delays and we apologize for the close connection. We've placed you on standby for the next flight to CLT.,AccountBookingHelp
180175,180173,I'm landing at the remote terminal for 5,"If your connection is missed, we have you packed up on the next flight to Miami to make your international flight.",AccountBookingHelp
2189814,2189813,"Its kinda ridiculous that it took so long for me to buy a ticket and when I want to reschedule that flight that I had such a tough time buying, it would cost me $200 + air fare charges #thatscrap #nothankyou",Voluntary changes will incur a change fee and a difference in fare once you rebook your ticket. We're sorry for the disappointment.,AccountBookingHelp
1610778,1610776,"most uncomfortable seats, least organized, nickle and dimes you too death. Now we boarded with no ""paperwork""? #unorganized 😑",We're sorry for the wait. We'll have you wheels up shortly.,BaggageIssue
1296420,1296419,And it's absolutely useless info.,We're confirming that you currently have the seats assignments and should receive a boarding pass on arrival to the airport.,BaggageIssue
724067,724068,No. They don’t,"Our apologies, the final boarding call is generally at 15 minutes, while the doors close at 10 minutes. Can we help in someway?",BaggageIssue
1275158,1275157,"Sadly on AA65, a 9+hour flight on an ancient 767 with no outlets at the seats, no individual AC control or TV monitors. #shame",Sorry you're not impressed with your flight. We hope you'll check out a newer bird soon.,BaggageIssue
674578,674580,I won't be. I had to wait after you decided to add a 7 hour layover to my flight now I've spent over an hour waiting to get off after landing. You're the worst airline out there.,We're sorry for the frustration.,BaggageIssue
2947799,2947798,"has an absolutely ridiculous policy that does not allow ""regular"" passengers to fly standby without a fee when they arrive at the airport early. I'll be flying from now on. Very disappointing and completely illogical.","We're sorry your disappointed, Steve. We hope you'll reconsider and fly us again in the future.",BaggageIssue
2773626,2773628,"Well, since you asked *Deep breath* -Don't charge $25 for the 1st bag -Stop overselling flights -Apologize to my knees, which are mashed into the seats due to less legroom -Use adult sized seats -Ask the guy next to me to get his elbow out of my ribs (not his fault) Start there",We're sorry you've had this experience. You can always purchase Main Cabin Extra seats with more legroom:,BaggageIssue
359898,359895,employees must get commission for every bag they can force you to check 🙄😒,We gauge overhead space the best we can and always want to keep you with your bag when possible.,BaggageIssue
2729555,2729554,Okay no bad feelings ! Our bag of merch delivered straight to the venue ❤️,We're happy to hear you've been reunited with your bag. Have a great Thanksgiving week!,BaggageIssue
1052654,1052655,I already have the baby’s ticket. I only need to assign seats!,We apologize for the wait but our agents will have everything taken care of as soon as possible.,BaggageIssue
2152730,2152729,"My flight home has been cancelled and can’t be rebooked until Friday. You paying for two hotel nights and lost wages, ?",We're very sorry we weren't able to find something sooner. Please work with our airport team for possible accommodations.,BaggageIssue
1661630,1661629,gave away our seats along with several other passengers who paid for their tickets. The worst staff I have ever encountered,We're sorry to hear that. Please continue working with our tam at the airport to get rebooked.,BaggageIssue
795312,795310,I have the economy. So 1 small item is 1 small luggage ?,"No, it has to be small enough to fit in the seat in front of you. You're not able to use the bin space on Basic Economy fares.",BaggageIssue
2453739,2453737,. 24hrs later worst. Wait’g 1hour+ w/intl passngrs don’t understand announce’ts -#EnglishOnly. No agua. #mean #badplan 2/2,We want to make sure everyone's properly assisted and our gate agents will be happy to answer any inquiries you may have.,BaggageIssue
223208,223209,Day late and a dollar short on that one. This was one of those travel experiences that reminds me why I fly .,We're sorry you didnt' have a good experience with us. We hope you'll give us another chance to impress you.,BaggageIssue
2293755,2293753,American Airlines don't care. You will get a generic response. &amp; I had HORRIBLE experience this morning. They don't care.,"Our offer still stands, Nicholas. Please DM us your record locator, and we'll take a look.",BaggageIssue
1332801,1332800,Take me someplace good today!,"Wow, what a view! It's a gorgeous day for a fabulous destination.",Complaint
727007,727006,really rough experience today with flight #2309 wondering if you could help?,What's going on Matt? Meet us in DM with more info.,Complaint
2653770,2653769,we got this,#AAdorable! Our future Pilots. Thanks for letting us see their very first training session.,Complaint
2068200,2068198,Got stuck flying . #badcustomerservice. Miss my airline. #iFlyAlaska,"We're here to help in any way we can. What's going on, Amie?",Complaint
663023,663022,You have to love Our flight was supposed to leave an hour ago. We board on time and sit on runway with no information ever since.,We know you're ready to be on the way and we're so sorry for the delay. What's your flight number? We'll take a peek.,Complaint
2325217,2325218,"That terrible day when you have to fly with . Love and miss , best #airline in the business. The quality of service is extremely notable from the counter to the flight.",We're happy to see you and we're sending big smiles your way! Please let us know if you need any help.,Complaint
2572590,2572593,Didn’t the same happening to you earlier in the week?,We're sorry that you weren't notified of the delay today. Amy. Our apologies again.,Complaint
699772,699771,Good morning and happy Thanksgiving! We are looking to purchase tickets and have a question regarding seat selection. May I PM you please?,"Happy Thanksgiving to you, too! Please call us at 800-433-7300 for help with your seat. We're available 24/7.",Complaint
2739867,2739866,Very unfortunate lost and delayed bag incident from - love you guys usually but this has been quite disrupting.,Please DM us your file number and we'll see if we can help.,Complaint
210679,210678,Got favorite #PAX award on flight 1393 DFW&gt;LAS 4 giving super crew sml token of appreciation: cards!,"Aww, how nice. You're the best!",Complaint
867715,867713,I was en route from another flight and it was assigned before I got to gate.,We'd suggest speaking with our agents then if you were en-route and couldn't answer their call.,Complaint
2194813,2194812,"Yes i did ask why I️ was being charge for a problem that wasn’t my fault and I️ got no response, great care I️ see that you guys provide for your customers, especially when I️ fly frequently.","Please follow and DM your record locator and we'll take a look at your reservaion, McKinley.",Complaint
2743496,2743495,"never mind that I'm supposed to be at my destination for work. Really poor service, reminds me why I never fly with them. #shitservice",We'd like to see if we can help. Please DM us your record locator and we'll take a look.,Complaint
2741125,2741124,"AA730. Yet again exceptionally poor value. When you get it right you're good. but when you get it wrong your (very high paying) customers suffer the consequences. Dont have the problems on domestic, been riding 730 / 733 for years and its rarely a good flight.",Our #greAAtestflyers deserve the best and we're so sorry to hear otherwise. Please share more details with us via DM.,Complaint
391844,391842,"Your rep, Jacki, here at ORD helped me get home tonight. Thanks for the response!",Jacki is the best! We're happy she was able to get everything worked out for you and we'll pass your kudos along. #AATeam,ComplimentOrOther
717266,717265,- any plans to add a chat feature to your customer service options? Real time connectivity when flying would be a plus! #thanks,"We're always looking to add options, but that's not in the pipeline at this time. We're here 24/7 to help while you're flying.",ComplimentOrOther
2305360,2305362,Thanks! I checked in online. It didn't have an option to select how many bags I wanted to check in. Do I just go to the counter and request a bag check in?,"Yes, our team at the airport will help get your bags checked in at the airport.",ComplimentOrOther
903873,903875,Apparently my previous reply was stuck as sending for the last month. I apologize. New DM sent. Thanks!,"Hey no worries, expect a response from us soon.",ComplimentOrOther
2215453,2215452,AWESOMESAUSE! Thanks for the reply !,"You bet, Tom. How was your vacation in Kona?",ComplimentOrOther
932389,932388,"The crew on flight 4749 CLE➡️PHL was amazing, and quite the lookers, too. Thanks !","We have a greAAt and good looking #AATeam! Thanks for flying with us, Krystle.",ComplimentOrOther
2814098,2814097,Thanks,Please try again in a bit.,ComplimentOrOther
611740,611739,captain sun chu and first officer were awesome yesterday on flight 254 ogg lax. Thanks for being so informative and thanks to the first officer for serving,We have the best team in the business! We'll pass along your compliments to our #AATeam.,ComplimentOrOther
2916795,2916793,It looks like my flying dreams are coming true sooner than I thought 😃 this is the bag I would take with me with just my iPad and my file folder thingy (That's what I call my pocket organizer 😂) . Any specific rules on the size of the bag? Thanks 😃,"Your carry-one needs to be 45 inches or less, length plus width plus height. You can also have one smaller personal item.",ComplimentOrOther
1071579,1071578,thanks for making up for the delays!! I’ll definitely be using those advantage miles!,We're happy to help! We look forward to seeing you again soon.,ComplimentOrOther
2283864,2283863,Just arrived &amp; had to say THANKS to . is stunning on cover of,"Thanks for flying with us today. We're glad enjoyed the article and you're right, she's stunning!",ComplimentOrOther
1570524,1570523,Big thanks for stranding me in Dallas so I missed my uncle's funeral! #AAsucks #theydontcare #weneedcompetition,We're so sorry for your loss. Please follow and DM your record locator and we can check on the status of your flights.,ComplimentOrOther
477282,477280,thanks so much for helping me lose 6 hours with my only grandchild!!!!,We know the time with your grandchild is important. We'll get you there as soon as we can. Thanks for your patience.,ComplimentOrOther
290013,290010,Thanks we wold really appreciate it if that could be done. . We love America air lines,"We can certainly look over your reservation with you, please share your record locator in DM with additional flight details.",ComplimentOrOther
2920880,2920879,"2 trips on this wk, 0 on-time arrivals. Nice job. Thanks.","On time flights are always the plan, Chip. We appreciate your understanding with any later than scheduled arrival.",ComplimentOrOther
34804,34803,"Thanks - this picture doesn’t even do it justice! And our purser on this flight is the best - efficient, sweet and friendly!",We're glad they're taking excellent care of you and will be sure to pass along your praises to our leadership team! #AATeam,ComplimentOrOther
2283554,2283553,Technically St Kitts is overseas. Big ocean. Lots of water. ... And to think I was nice enough to give y’all all my data by signing up for membership and getting a credit card. And buying this vacation package through AA. It’s ok. I understand.,We didn't mean to disappoint you. We value your business very much. Here's more info on card benefits:,FlightStatusOrDelay
1130779,1130778,what the hell are you doing about the 100s of ppl grounded out of flights from Grand Rapids MI? #FigureItOut #NoExcuses,"We'll be glad to check on your flight number, Nate. Please share more info with us via DM.",FlightStatusOrDelay
2388150,2388149,because of you I am sleep deprived. I am using from now on. #GimmeNoMoreExcuses,"That's not what we like to hear. We hope you'll reconsider and give us another chance, Amy.",FlightStatusOrDelay
2529387,2529389,How do I claim my fare back?,You can use this link with your ticket number:,FlightStatusOrDelay
1113709,1113711,Three people not cutting it. Many people going to miss flights,Our team is working hard to help our customers. We recommend to arrive a minimum of 90 minutes before departure:,FlightStatusOrDelay
1087947,1087945,Yet another example why you are the of airlines 💩💩💩,We'd like to take a closer look at this and would like for you to please DM us your record locator.,FlightStatusOrDelay
1076531,1076529,Yeah awesome towel! Only for flights or can I get one somewhere?,They have only been on special flights!,FlightStatusOrDelay
2970862,2970860,Hey should I be worried about my trip to New York in a few weeks?,This is an important time of year from travel and we fully plan on operating our entire schedule.,FlightStatusOrDelay
1478930,1478925,unbelievable...u ban customers for complaints...WOW,Your comments concern us. Please meet us in DM with your record locator and details.,FlightStatusOrDelay
2605058,2605057,"hi, i have a question about your baggage policy and sent it to you through DM","Thanks, we're taking a look now and will respond there shortly.",FlightStatusOrDelay
2233579,2233578,"8 more flights before #PlatinumPro status. That’s 90 flights this year on alone, kids. Bring on those First Class upgrades! #frequentflyer","Nice, so close! It's been great sharing the skies with you and you're going to love #PlatinumPro status. #LevelUp",FlightStatusOrDelay
664850,664849,also like to commend the wonderful landing. I think I compressed two vertebrae in my neck on that one. #learningtofly,"We're sorry for the extra wait this evening, we see you've got wheels up now. Thanks for your patience.",FlightStatusOrDelay
2014435,2014434,Lol? How is that funny? Seriously- who is in charge of your social media account?,We'd like to send this to the appropriate team for internal review. Please DM the info we requested.,FlightStatusOrDelay
