customer_tweet_id,support_tweet_id,customer_text_clean,support_text_clean,suggested_intent,intent_label,escalate,escalate_reason,reference_reply
1102118,1102117,flight cxl cant get me to MIA and cant rent a car from FLL to get home agts at gate no computers and 1800 passed the buck..,"Sorry about the extra travel time, Manny. Please check with our airport team for the next available options.",AccountBookingHelp,GeneralFlightFeedback,no,Standard informational inquiry addressable by automated guidance and policy links.,"Sorry about the extra travel time, Manny. Please check with our airport team for the next available options."
1436095,1436094,"There is no sense of urgency or that customers time is of value, get a manager at that gate that can motivate the team",Our airport team is working hard to get you going.,AccountBookingHelp,GeneralFlightFeedback,yes,Customer explicitly requested a human representative or supervisor.,Our airport team is working hard to get you going.
205520,205522,How long is shortly,We've responded. Please check your DM.,AccountBookingHelp,GeneralFlightFeedback,no,Standard informational inquiry addressable by automated guidance and policy links.,We've responded. Please check your DM.
2469569,2469567,we're over 30 minutes late boarding AA 69 and gate agents haven't given any updates. What's the story?,Looks like AA69 is still on schedule for 12p departure. We'll have you on your way as soon as possible.,AccountBookingHelp,SeatingAndBoarding,no,Standard informational inquiry addressable by automated guidance and policy links.,Looks like AA69 is still on schedule for 12p departure. We'll have you on your way as soon as possible.
454784,454783,"Hey , I'm a big fan of this whole snack cart thing at the gate (CVG to DCA). Even more of a fan of the fact there are Slim Jims. After a 3-hour delay, I still feel #blessed.",Great to hear the team is able to offer some snack service while waiting in the terminal area.,AccountBookingHelp,FlightDelaysAndDisruptions,no,Standard informational inquiry addressable by automated guidance and policy links.,Great to hear the team is able to offer some snack service while waiting in the terminal area.
1527976,1527973,why can’t I use my upgrades consistently when there are open business class consistently? Have the time told NO at the gate?,"Were you on the upgrade list, Kevin? Please DM your record locator, we'll take a look.",AccountBookingHelp,SeatingAndBoarding,no,Standard informational inquiry addressable by automated guidance and policy links.,"Were you on the upgrade list, Kevin? Please DM your record locator, we'll take a look."
2685601,2685600,"This dude, gate agent, has gone from gate 10 to gate 21 still spouting his conservative political bullshit. Is this a new policy? I'm stuck here, waiting for a plane, listening to conspiracy theories too wacky to believe.",Your comments concern us. Please DM us your record locator and details.,AccountBookingHelp,FlightDelaysAndDisruptions,no,Standard informational inquiry addressable by automated guidance and policy links.,Your comments concern us. Please DM us your record locator and details.
2894140,2894139,TIL terminals 1 and 2 at SFO are connected airside. And has ONE gate at the very end of terminal 1. Thanks for the long walk gate-manager-guy!,"Matt, we have a great team in SFO that is there if you need special assistance. We want to make your experience go smooth as possible.",AccountBookingHelp,ComplimentOrAppreciation,yes,Customer explicitly requested a human representative or supervisor.,"Matt, we have a great team in SFO that is there if you need special assistance. We want to make your experience go smooth as possible."
2567251,2567250,It’s now 1.05pm and I’m seeing NO sign of at my gate. Called the help Centre nothing concrete yet.,Happy to check on an update. What's your flight number?,AccountBookingHelp,GeneralFlightFeedback,no,Standard informational inquiry addressable by automated guidance and policy links.,Happy to check on an update. What's your flight number?
2517344,2517343,how about being ashamed that making the gate on time these days is under 20% ...how about you pay for the dinner I just missed with my family. #worstairlineever,"Arriving early is great but sometimes the gate isn't ready yet, but Sorry about getting you in later than the scheduled time.",AccountBookingHelp,FlightDelaysAndDisruptions,no,Standard informational inquiry addressable by automated guidance and policy links.,"Arriving early is great but sometimes the gate isn't ready yet, but Sorry about getting you in later than the scheduled time."
2300608,2300606,"So it’s an engine problem that takes 20 minutes to repair, I looked at my connection and I’m landing in terminal A and my connection is in C, what can I do?",We don't like delays and we apologize for the close connection. We've placed you on standby for the next flight to CLT.,AccountBookingHelp,GeneralFlightFeedback,no,Standard informational inquiry addressable by automated guidance and policy links.,We don't like delays and we apologize for the close connection. We've placed you on standby for the next flight to CLT.
180175,180173,I'm landing at the remote terminal for 5,"If your connection is missed, we have you packed up on the next flight to Miami to make your international flight.",AccountBookingHelp,GeneralFlightFeedback,no,Standard informational inquiry addressable by automated guidance and policy links.,"If your connection is missed, we have you packed up on the next flight to Miami to make your international flight."
2189814,2189813,"Its kinda ridiculous that it took so long for me to buy a ticket and when I want to reschedule that flight that I had such a tough time buying, it would cost me $200 + air fare charges #thatscrap #nothankyou",Voluntary changes will incur a change fee and a difference in fare once you rebook your ticket. Sorry about the disappointment.,AccountBookingHelp,TicketingAndRefunds,no,Standard informational inquiry addressable by automated guidance and policy links.,Voluntary changes will incur a change fee and a difference in fare once you rebook your ticket. Sorry about the disappointment.
1610778,1610776,"most uncomfortable seats, least organized, nickle and dimes you too death. Now we boarded with no ""paperwork""? #unorganized 😑",Sorry about the wait. We'll have you wheels up shortly.,BaggageIssue,SeatingAndBoarding,no,Standard informational inquiry addressable by automated guidance and policy links.,Sorry about the wait. We'll have you wheels up shortly.
1296420,1296419,And it's absolutely useless info.,We're confirming that you currently have the seats assignments and should receive a boarding pass on arrival to the airport.,BaggageIssue,BaggageIssue,no,Standard informational inquiry addressable by automated guidance and policy links.,We're confirming that you currently have the seats assignments and should receive a boarding pass on arrival to the airport.
724067,724068,No. They don’t,"Our apologies, the final boarding call is generally at 15 minutes, while the doors close at 10 minutes. Can we help in someway?",BaggageIssue,BaggageIssue,no,Standard informational inquiry addressable by automated guidance and policy links.,"Our apologies, the final boarding call is generally at 15 minutes, while the doors close at 10 minutes. Can we help in someway?"
1275158,1275157,"Sadly on AA65, a 9+hour flight on an ancient 767 with no outlets at the seats, no individual AC control or TV monitors. #shame",Sorry you're not impressed with your flight. We hope you'll check out a newer bird soon.,BaggageIssue,SeatingAndBoarding,no,Standard informational inquiry addressable by automated guidance and policy links.,Sorry you're not impressed with your flight. We hope you'll check out a newer bird soon.
674578,674580,I won't be. I had to wait after you decided to add a 7 hour layover to my flight now I've spent over an hour waiting to get off after landing. You're the worst airline out there.,Sorry about the frustration.,BaggageIssue,CustomerServiceComplaint,yes,Severe distress or strong negative sentiment requiring human empathy and discretion.,Sorry about the frustration.
2947799,2947798,"has an absolutely ridiculous policy that does not allow ""regular"" passengers to fly standby without a fee when they arrive at the airport early. I'll be flying from now on. Very disappointing and completely illogical.","We're sorry your disappointed, Steve. We hope you'll reconsider and fly us again in the future.",BaggageIssue,SeatingAndBoarding,no,Standard informational inquiry addressable by automated guidance and policy links.,"We're sorry your disappointed, Steve. We hope you'll reconsider and fly us again in the future."
2773626,2773628,"Well, since you asked *Deep breath* -Don't charge $25 for the 1st bag -Stop overselling flights -Apologize to my knees, which are mashed into the seats due to less legroom -Use adult sized seats -Ask the guy next to me to get his elbow out of my ribs (not his fault) Start there",We're sorry you've had this experience. You can always purchase Main Cabin Extra seats with more legroom:.,BaggageIssue,SeatingAndBoarding,no,Standard informational inquiry addressable by automated guidance and policy links.,We're sorry you've had this experience. You can always purchase Main Cabin Extra seats with more legroom:.
359898,359895,employees must get commission for every bag they can force you to check 🙄😒,We gauge overhead space the best we can and always want to keep you with your bag when possible.,BaggageIssue,BaggageIssue,no,Standard informational inquiry addressable by automated guidance and policy links.,We gauge overhead space the best we can and always want to keep you with your bag when possible.
2729555,2729554,Okay no bad feelings ! Our bag of merch delivered straight to the venue ❤️,We're happy to hear you've been reunited with your bag. Have a great Thanksgiving week!,BaggageIssue,BaggageIssue,no,Standard informational inquiry addressable by automated guidance and policy links.,We're happy to hear you've been reunited with your bag. Have a great Thanksgiving week!
1052654,1052655,I already have the baby’s ticket. I only need to assign seats!,We apologize for the wait but our agents will have everything taken care of as soon as possible.,BaggageIssue,SeatingAndBoarding,no,Standard informational inquiry addressable by automated guidance and policy links.,We apologize for the wait but our agents will have everything taken care of as soon as possible.
2152730,2152729,"My flight home has been cancelled and can’t be rebooked until Friday. You paying for two hotel nights and lost wages, ?",We're very sorry we weren't able to find something sooner. Please work with our airport team for possible accommodations.,BaggageIssue,FlightDelaysAndDisruptions,no,Standard informational inquiry addressable by automated guidance and policy links.,We're very sorry we weren't able to find something sooner. Please work with our airport team for possible accommodations.
1661630,1661629,gave away our seats along with several other passengers who paid for their tickets. The worst staff I have ever encountered,We're sorry to hear that. Please check with our tam at the airport to get rebooked.,BaggageIssue,SeatingAndBoarding,yes,Severe distress or strong negative sentiment requiring human empathy and discretion.,We're sorry to hear that. Please check with our tam at the airport to get rebooked.
795312,795310,I have the economy. So 1 small item is 1 small luggage ?,"No, it has to be small enough to fit in the seat in front of you. You're not able to use the bin space on Basic Economy fares.",BaggageIssue,BaggageIssue,no,Standard informational inquiry addressable by automated guidance and policy links.,"No, it has to be small enough to fit in the seat in front of you. You're not able to use the bin space on Basic Economy fares."
2453739,2453737,. 24hrs later worst. Wait’g 1hour+ w/intl passngrs don’t understand announce’ts -#EnglishOnly. No agua. #mean #badplan 2/2,We want to make sure everyone's properly assisted and our gate agents will be happy to answer any inquiries you may have.,BaggageIssue,BaggageIssue,yes,Severe distress or strong negative sentiment requiring human empathy and discretion.,We want to make sure everyone's properly assisted and our gate agents will be happy to answer any inquiries you may have.
223208,223209,Day late and a dollar short on that one. This was one of those travel experiences that reminds me why I fly .,We're sorry you didnt' have a good experience with us. We hope you'll give us another chance to impress you.,BaggageIssue,FlightDelaysAndDisruptions,no,Standard informational inquiry addressable by automated guidance and policy links.,We're sorry you didnt' have a good experience with us. We hope you'll give us another chance to impress you.
2293755,2293753,American Airlines don't care. You will get a generic response. &amp; I had HORRIBLE experience this morning. They don't care.,"Our offer still stands, Nicholas. Please DM us your record locator, and we'll take a look.",BaggageIssue,DirectAssistanceOrDM,no,Standard informational inquiry addressable by automated guidance and policy links.,"Our offer still stands, Nicholas. Please DM us your record locator, and we'll take a look."
1332801,1332800,Take me someplace good today!,"Wow, what a view! It's a gorgeous day for a fabulous destination.",Complaint,CustomerServiceComplaint,no,Standard informational inquiry addressable by automated guidance and policy links.,"Wow, what a view! It's a gorgeous day for a fabulous destination."
727007,727006,really rough experience today with flight #2309 wondering if you could help?,What's going on Matt? Meet us in DM with more info.,Complaint,CustomerServiceComplaint,no,Standard informational inquiry addressable by automated guidance and policy links.,What's going on Matt? Meet us in DM with more info.
2653770,2653769,we got this,#AAdorable! Our future Pilots. Thanks for letting us see their very first training session.,Complaint,CustomerServiceComplaint,no,Standard informational inquiry addressable by automated guidance and policy links.,#AAdorable! Our future Pilots. Thanks for letting us see their very first training session.
2068200,2068198,Got stuck flying . #badcustomerservice. Miss my airline. #iFlyAlaska,"We're here to help in any way we can. What's going on, Amie?",Complaint,FlightDelaysAndDisruptions,no,Standard informational inquiry addressable by automated guidance and policy links.,"We're here to help in any way we can. What's going on, Amie?"
663023,663022,You have to love Our flight was supposed to leave an hour ago. We board on time and sit on runway with no information ever since.,We know you're ready to be on the way and we're so sorry for the delay. What's your flight number? We'll take a peek.,Complaint,FlightDelaysAndDisruptions,no,Standard informational inquiry addressable by automated guidance and policy links.,We know you're ready to be on the way and we're so sorry for the delay. What's your flight number? We'll take a peek.
2325217,2325218,"That terrible day when you have to fly with . Love and miss , best #airline in the business. The quality of service is extremely notable from the counter to the flight.",We're happy to see you and we're sending big smiles your way! Please let us know if you need any help.,Complaint,CustomerServiceComplaint,yes,Severe distress or strong negative sentiment requiring human empathy and discretion.,We're happy to see you and we're sending big smiles your way! Please let us know if you need any help.
2572590,2572593,Didn’t the same happening to you earlier in the week?,We're sorry that you weren't notified of the delay today. Amy. Our apologies again.,Complaint,CustomerServiceComplaint,no,Standard informational inquiry addressable by automated guidance and policy links.,We're sorry that you weren't notified of the delay today. Amy. Our apologies again.
699772,699771,Good morning and happy Thanksgiving! We are looking to purchase tickets and have a question regarding seat selection. May I PM you please?,"Happy Thanksgiving to you, too! Please call us at 800-433-7300 for help with your seat. We're available 24/7.",Complaint,SeatingAndBoarding,no,Standard informational inquiry addressable by automated guidance and policy links.,"Happy Thanksgiving to you, too! Please call us at 800-433-7300 for help with your seat. We're available 24/7."
2739867,2739866,Very unfortunate lost and delayed bag incident from - love you guys usually but this has been quite disrupting.,Please DM us your file number and we'll see if we can help.,Complaint,BaggageIssue,no,Standard informational inquiry addressable by automated guidance and policy links.,Please DM us your file number and we'll see if we can help.
210679,210678,Got favorite #PAX award on flight 1393 DFW&gt;LAS 4 giving super crew sml token of appreciation: cards!,"Aww, how nice. You're the best!",Complaint,CustomerServiceComplaint,no,Standard informational inquiry addressable by automated guidance and policy links.,"Aww, how nice. You're the best!"
867715,867713,I was en route from another flight and it was assigned before I got to gate.,We'd suggest speaking with our agents then if you were en-route and couldn't answer their call.,Complaint,CustomerServiceComplaint,no,Standard informational inquiry addressable by automated guidance and policy links.,We'd suggest speaking with our agents then if you were en-route and couldn't answer their call.
2194813,2194812,"Yes i did ask why I️ was being charge for a problem that wasn’t my fault and I️ got no response, great care I️ see that you guys provide for your customers, especially when I️ fly frequently.",Please DM us your record locator and we'll take a look at your reservaion.,Complaint,TicketingAndRefunds,no,Standard informational inquiry addressable by automated guidance and policy links.,Please DM us your record locator and we'll take a look at your reservaion.
