customer_tweet_id,support_tweet_id,customer_text_clean,support_text_clean,suggested_intent,intent_label,escalate,escalate_reason,reference_reply
1697713,1697712,I️ was delayed 3 and a half hours for my first flight today and now I’m delayed an hour for my second flight. Get it together,We dislike delays as much as you do and we do all possible to avoid them. Our apologies for any inconvenience.,FlightDelaysAndDisruptions,,,,
2552847,2552845,Basic economy? Shame on you!,"Basic Economy is only one of the many different types of fares we sell, Gina. You're not required to purchase it.",CustomerServiceComplaint,,,,
798516,798515,. flying from Hong Kong tomorrow to Dallas at 2:30pm. Hurt my leg badly need to keep it up. How do I get a bulkhead?? 676per4,"We're not showing bulkhead available at this time, Kyia. Please check with our team at the airport for options. Hope you feel better soon!",GeneralFlightFeedback,,,,
928586,928584,Get me out of Venezuela,We can certainly try. Give our Reservations team a call at 800-433-7300 or check our website for available flights.,ComplimentOrAppreciation,,,,
2264241,2264242,So what was offered originally is the best that can offer for for my bags arriving 7 hours after they should have?,"We aren't able to offer anything further, Kirk.",BaggageIssue,,,,
1648989,1648988,how can there be no AAdvantage account associated with my email and one already associated with my email at the same time,"We'd suggest contacting our folks in AAdvantage Customer Service for more info, Larissa. Their number is 800-882-8880.",DirectAssistanceOrDM,,,,
2512083,2512085,We have been sitting on the tarmac for 45minutes i could have been on my way driving to BDL by now WTF have us sit forever after divert?,Sorry for the wait. We're working hard to get you on your way.,SeatingAndBoarding,,,,
2429168,2429165,We’re flying ✈️ direct to Maui in May! Can’t wait for another adventure! 👍🏻😍,"How exciting, Pam. We can't wait to take you to beautiful #paradise. Let the countdown begin!",ComplimentOrAppreciation,,,,
547300,547299,Which is it folks? Open or closed?,We offer our customers 2 lounges. Please provide your record locator so we can take a peek on your ticket eligibility.,ComplimentOrAppreciation,,,,
694831,694830,. you’re going to get a massive ear beating when I get off this flight. #HappyThanksgiving2017,We're here for you 24/7. Feel free to tweet us anytime.,GeneralFlightFeedback,,,,
1515549,1515548,would not adjust my daughters ticket so she can disembark to attend . Disappointing.,We're happy to price out the change. Please have her DM her record locator.,SeatingAndBoarding,,,,
305010,305012,you gotta be kidding! A $200 change charge on $265 tickets! You should be ashamed!,Please DM us your record locator so we can take a closer look.,TicketingAndRefunds,,,,
2715458,2715457,"Hey, I’m not a total asshat. Credit where credit is due, . Thanks for getting my husband here on time (early!).","That's awesome news, Sara! We'll see him again soon!",ComplimentOrAppreciation,,,,
2498004,2498003,". did a phenomenal job getting me rescheduled tonight after a mechanical delay. Quick-thinking, kind agents got it done. 🛫👍🏻","We're sorry for the delay, but we're glad our team was able to help have you rebooked.",FlightDelaysAndDisruptions,,,,
554285,554283,"Hey , $8k for a round trip economy from LAX - DTW??",We've some great fares that are more economical. Please give us a call at 800-433-7300 and our Reservations team will help.,TicketingAndRefunds,,,,
2735028,2735027,. credit where credit is due...today’s flight is on time. Thank you.,We're so glad we got there on time. Have a great day.,TicketingAndRefunds,,,,
219688,219687,"has new lower standards for plane cleaning: AA905.. never saw a seat so dirty: plastic, papers, food from previous flights","That's not what we like to hear. We'll pass this info along to our team to get it resolved. Thanks for letting us know, Guilherme.",SeatingAndBoarding,,,,
1087938,1087937,"So got the Kendrick, Nav &amp; YG album available. I feel it.","Of course, we love good music. Glad you're enjoying it.",ComplimentOrAppreciation,,,,
1900605,1900604,I am going on my 10th hour of sitting at Logan Airport waiting for delayed flights. How about an admirals club pass next time?,"We see you should be on your way in just a few minutes, Jen. We're so sorry for the wait. You may be able to by a one day pass in the Club.",FlightDelaysAndDisruptions,,,,
2844802,2844804,"I have traveled with the same stroller for 4 years, now suddenly I can't?",We're sorry our airport team haven't been consistent with you in the past. We do our best to ensure all our agents follow our policies.,SeatingAndBoarding,,,,
2131872,2131877,I’ve been DM’ing with no response,"Troy, we don't have an DM's from you. If you follow us, we'll try to send one your way to get started.",DirectAssistanceOrDM,,,,
1739525,1739524,do you have to use it all at once or can you carry a balance?,"If there's a residual amount left over, we'll roll that over to another voucher, which will carry a new expiration date.",CustomerServiceComplaint,,,,
1553953,1553956,Literally the same size as my work bag. Any chance you guys get to make more money at the customers expense.,You can only have 1 item. Did you have your work bag and a carry-on?,BaggageIssue,,,,
511984,511982,got on my full flight and the entertainment isn't working! At least I have with an hour of free WiFi,"Please let a crew member know to see if it can be reset. If it can't, please DM your locator, flight and seat number so we can report it.",FlightDelaysAndDisruptions,,,,
